voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Zach Harper,The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Zach Lowe,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)",2022,MVP
Adam Himmelsbach,Boston Globe,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Anthony Chiang,Miami Herald,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Anthony Slater,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Antoni Daimiel,Movistar+,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Randle, Julius (NYK)",2021,MVP
Bill Reiter,CBSSports.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Bill Simmons,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)",2021,MVP
Brad Townsend,Dallas Morning News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)",2021,MVP
Brian Lewis,New York Post,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Harden, James (BKN)",2021,MVP
Brian Mahoney,Associated Press,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Brian Windhorst,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Candace Parker,Turner,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Cassidy Hubbarth,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Chris Broussard,Fox Sports,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2021,MVP
Chris Fedor,Cleveland.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Chris Haynes,Yahoo! Sports,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2021,MVP
Chris Kirschner,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Chris Mannix,Sports Illustrated,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Christos Tsaltas,SDNA.gr,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Daisuke Sugiura,Nihon Keizai Shimbun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Dan Devine,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Dave McMenamin,ESPN,"Paul, Chris (PHX)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Dave Pasch,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Paul, Chris (PHX)",2021,MVP
Davide Chinellato,La Gazzetta Dello Sport,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Dennis Scott,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)",2021,MVP
Diego Martinez,Reforma,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Doris Burke,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Doug Smith,The Toronto Star,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Duane Rankin,Arizona Republic,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)",2021,MVP
Ernie Johnson,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Evan Barnes,Memphis Commercial Appeal,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)",2021,MVP
Frank Isola,Sirius Radio,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Lillard, Damian (POR)","Randle, Julius (NYK)",2021,MVP
Fred Katz,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Embiid, Joel (PHI)",2021,MVP
Gary Washburn,Boston Globe,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2021,MVP
Greg Anthony,Turner,"Paul, Chris (PHX)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Guillermo Schutz,Televisa (TUDN),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Howard Beck,Sports Illustrated,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Jackie MacMullan,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Jalen Rose,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Jamal Collier,Chicago Tribune,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
James Owczarski,Milwaukee Journal Sentinel,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Jared Greenberg,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Jason Jones,The Athletic,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Jeff McDonald,San Antonio Express-News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Jeff Zillgitt,USA Today,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Joe Freeman,The Oregonian,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2021,MVP
Joe Mussatto,The Oklahoman,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Joe Vardon,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Randle, Julius (NYK)",2021,MVP
John Schuhmann,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Jon Barry,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Justin Termine,Sirius Radio,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Lillard, Damian (POR)",2021,MVP
Keith Pompey,Philadelphia Inquirer and Daily News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Kelly Iko,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Kevin Arnovitz,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2021,MVP
Kevin Harlan,Turner,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Kevin O'Connor,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Kevin Pelton,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2021,MVP
Kurt Helin,NBCSports.com,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Kyle Goon,Southern California News Group,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Lisa Hsu,Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Marc Kestecher,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Maria Taylor,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Mark Jackson,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Mark Medina,USA Today,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Marv Albert,Turner,"Jokic, Nikola (DEN)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)",2021,MVP
Matt Winer,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Mauricio Codocea,Clarin (Argentina),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Max Haupt,DPA,"Curry, Stephen (GSW)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Melissa Rohlin,Fox Sports,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Michael C. Wright,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Michael Grange,Rogers Sportsnet,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Curry, Stephen (GSW)",2021,MVP
Michael Wilbon,ESPN,"Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Embiid, Joel (PHI)",2021,MVP
Mike Singer,Denver Post,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Mirjam Swanson,Southern California News Group,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Olgun Uluc,ESPN Australia,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Omari Sankofa II,Detroit Free Press,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Rachel Nichols,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Ramona Shelburne,ESPN,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Ric Bucher,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Doncic, Luka (DAL)",2021,MVP
Rob Mahoney,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)",2021,MVP
Roy Parry,Orlando Sentinel,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2021,MVP
Royce Young,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Ryan Wolstat,The Toronto Sun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Sam Amick,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)",2021,MVP
Scott Kushner,New Orleans Times Picayune,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Seerat Sohi,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)",2021,MVP
Shams Charania,The Athletic/Stadium,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Shaun Powell,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Simone Sandri,Gazzetta.it,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Stefan Bondy,New York Daily News,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Paul, Chris (PHX)",2021,MVP
Stephen A. Smith,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Randle, Julius (NYK)","Lillard, Damian (POR)",2021,MVP
Steve Aschburner,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Steve Smith,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Randle, Julius (NYK)",2021,MVP
Taylor Rooks,Bleacher Report,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Tim Bontemps,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2021,MVP
Tim Reynolds,Associated Press,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Tony Jones,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Vince Goodwill,Yahoo! Sports,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Vote Fan,NBA Fan Vote,"Rose, Derrick (NYK)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)",2021,MVP
Yoko Miyaji,Sports Graphic Number,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Zach Harper,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Zach Lowe,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Amin Elhassan,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Harden, James (HOU)",2020,MVP
Antoni Daimiel,Movistar+,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2020,MVP
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)",2020,MVP
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Siakam, Pascal (TOR)",2020,MVP
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Candace Parker,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Casey Stern,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (LAL)",2020,MVP
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)",2020,MVP
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Chris Haynes,Yahoo! Sports,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2020,MVP
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Chris Sasaki,Rakuten,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Coral Lu,ESPN-Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)",2020,MVP
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Dave McMenamin,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Davide Chinellato,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Dennis Scott,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Diego Martinez,Reforma,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Erik Horne,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Gary Washburn,Boston Globe,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)",2020,MVP
Greg Anthony,Turner,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)",2020,MVP
Greg Logan,Newsday,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
